"wildfire","datetime","city","state","population","latitude","longitude","computed_daynight_sza","brightness"
0,2020-01-08 09:19:37.202065,"Waikerie","South Australia",1670,-33.7353547084439,139.594138016458,"N",0
0,2020-01-06 09:51:34.691348,NA,NA,NA,-29.9424273837247,124.805181429962,"D",0
0,2020-05-19 17:54:58.661783,NA,NA,NA,-29.0521175540139,117.038605301454,"D",0
0,2020-12-10 21:36:46.281935,NA,NA,NA,-29.555656042847,118.662354953532,"N",0
0,2020-11-30 09:57:01.989986,"Howlong","New South Wales",2654,-35.5899878343989,146.636955919505,"D",0
0,2020-12-28 20:33:32.516295,NA,NA,NA,-17.2295538547087,141.782876972411,"N",0
0,2020-09-09 20:11:48.766069,"Kingaroy","Queensland",10020,-26.9613892279774,151.307705632174,"N",0
0,2020-03-05 11:36:50.366304,NA,NA,NA,-16.4877266927659,130.876975392407,"D",0
0,2020-06-12 09:12:55.016262,NA,NA,NA,-33.0384985137022,135.269856257716,"D",0
0,2020-09-18 09:12:30.36724,NA,NA,NA,-28.6802106163176,119.62784744176,"D",0
0,2020-08-08 10:26:16.861573,NA,NA,NA,-18.4502074827439,136.382530544394,"N",0
0,2020-05-08 09:40:27.1527,NA,NA,NA,-28.8794266357169,140.826863278057,"N",0
0,2020-04-24 20:16:09.377032,"Australind","Western Australia",14539,-33.1395097883409,116.183508531302,"D",0
0,2020-06-30 10:03:54.00865,NA,NA,NA,-32.1946555537992,122.752981023426,"D",0
0,2020-06-10 09:29:00.338396,"Maffra","Victoria",4548,-37.9714477174049,147.062777385996,"N",0
0,2020-12-23 19:46:27.269184,NA,NA,NA,-25.8079929859295,119.735094870845,"D",0
0,2020-03-04 21:40:17.406932,NA,NA,NA,-22.1774769064293,129.969009654799,"N",0
0,2020-07-03 20:05:50.400312,NA,NA,NA,-21.0096195768455,141.654639760456,"N",0
0,2020-06-18 08:54:56.667022,NA,NA,NA,-28.1424385015307,120.239383376144,"N",0
0,2020-08-12 20:42:07.165518,NA,NA,NA,-26.8239024145308,149.673350985471,"D",0
0,2020-08-07 09:24:29.10147,NA,NA,NA,-24.6688045726277,140.876087604654,"N",0
0,2020-11-14 20:31:11.179794,NA,NA,NA,-22.5179784169976,139.182155709293,"D",0
0,2020-07-10 21:22:38.709857,NA,NA,NA,-26.3401900597473,141.874351118458,"D",0
0,2020-11-28 10:11:38.005529,NA,NA,NA,-20.2846595035147,121.354972360137,"D",0
0,2020-03-12 18:21:17.609028,NA,NA,NA,-22.7281838388888,136.307061858659,"D",0
0,2020-08-20 17:57:19.638943,"Parkes","New South Wales",9832,-33.0532604112122,148.105153551509,"D",0
0,2020-06-26 10:06:20.772168,NA,NA,NA,-23.3237456967524,140.976384271676,"D",0
0,2020-05-16 20:41:51.34561,"Walgett","New South Wales",1377,-28.9990020918172,148.451027822142,"N",0
0,2020-08-29 19:36:45.730585,"Wynyard","Tasmania",5387,-41.3701217733243,145.476501588066,"N",0
0,2020-03-15 21:11:23.591481,NA,NA,NA,-30.0044594264559,142.672316627112,"D",0
0,2020-07-23 20:55:45.868505,NA,NA,NA,-32.0480872315906,141.450775065763,"D",0
0,2020-02-21 09:08:05.235986,"Boulder","Western Australia",4825,-30.3548989955863,122.854335259945,"D",0
0,2020-03-01 09:19:11.724492,NA,NA,NA,-20.1917399218359,121.841397434284,"D",0
0,2020-02-05 20:46:29.454371,NA,NA,NA,-25.0255264295445,140.153109351334,"D",0
0,2020-08-05 09:11:46.561774,NA,NA,NA,-26.446685169505,122.404262503909,"D",0
0,2020-10-09 08:59:03.566015,NA,NA,NA,-22.0322809094246,120.531147780917,"N",0
0,2020-02-22 20:49:52.895161,NA,NA,NA,-23.6122698657481,124.984106152748,"D",0
0,2020-09-29 09:42:02.828569,NA,NA,NA,-20.5364591775947,142.928933455956,"D",0
0,2020-05-20 09:18:11.287715,NA,NA,NA,-29.9115399098322,134.849621264751,"N",0
0,2020-08-21 19:24:27.14121,NA,NA,NA,-28.3626132114026,140.86009063075,"D",0
0,2020-11-30 19:50:39.466469,NA,NA,NA,-31.0751839346344,127.875442811495,"D",0
0,2020-06-08 21:38:55.217972,NA,NA,NA,-31.645395074918,126.381155252383,"D",0
0,2020-05-21 22:51:56.060419,NA,NA,NA,-32.4323438925536,118.62661375051,"D",0
0,2020-01-11 09:38:13.053643,NA,NA,NA,-26.1116511346792,147.971124094036,"D",0
0,2020-06-06 08:52:02.720971,NA,NA,NA,-28.4866723185621,142.95013700078,"D",0
0,2020-03-11 21:53:48.391431,NA,NA,NA,-19.314576151697,129.053530382593,"N",0
0,2020-05-20 21:16:41.123666,"Whyalla","South Australia",21501,-33.1152488379976,138.323008692911,"N",0
0,2020-03-29 20:06:15.29034,NA,NA,NA,-15.689545041857,125.89577405333,"D",0
0,2020-11-18 08:32:31.76231,NA,NA,NA,-25.2836513230642,126.051450559463,"D",0
0,2020-09-18 20:33:07.880129,NA,NA,NA,-30.2687268607557,126.227882919582,"N",0
0,2020-08-25 17:26:07.234348,NA,NA,NA,-20.6712011521996,134.712443593222,"N",0
0,2020-03-28 09:02:26.214515,NA,NA,NA,-26.7787169465739,116.73575195196,"N",0
0,2020-08-08 21:14:30.161166,NA,NA,NA,-25.983375143635,134.534976350229,"D",0
0,2020-08-12 09:06:37.344434,NA,NA,NA,-23.061418268238,126.561214943336,"N",0
0,2020-10-11 09:06:41.999852,NA,NA,NA,-25.9679927310154,131.339280753811,"D",0
0,2020-08-10 19:22:07.460352,NA,NA,NA,-23.1732014596955,131.96820881456,"D",0
0,2020-06-25 20:11:54.408933,"Leongatha","Victoria",5654,-38.5940773613128,145.991620549198,"D",0
0,2020-04-02 10:16:41.306898,NA,NA,NA,-26.5150258124062,113.599037785254,"D",0
0,2020-08-24 08:37:47.603547,"Smithton","Tasmania",3282,-40.9021881438657,144.836477932099,"D",0
0,2020-08-23 08:47:32.48167,NA,NA,NA,-23.7639381271798,114.106458384178,"D",0
0,2020-01-22 09:08:10.30145,"Proserpine","Queensland",3440,-20.0317434521719,148.165161443254,"D",0
0,2020-03-06 20:14:54.149453,NA,NA,NA,-29.4117104227322,120.326620144094,"D",0
0,2020-03-30 20:26:12.218463,"Cobar","New South Wales",3369,-32.6896539009209,145.661487667319,"D",0
0,2020-02-04 08:28:12.687633,NA,NA,NA,-29.502099955595,128.305375587018,"D",0
0,2020-02-25 09:16:45.218993,"Wagga Wagga","New South Wales",49686,-35.3572639502007,147.534109916339,"N",0
0,2020-04-11 09:35:33.067879,NA,NA,NA,-24.4149146373296,137.256567198859,"D",0
0,2020-05-17 20:27:24.776551,"Drummond Cove","Western Australia",1477,-27.7654546168128,114.670312429514,"D",0
0,2020-08-29 18:04:33.076973,NA,NA,NA,-21.9308008951452,132.077766073592,"N",0
0,2020-06-12 09:01:05.595312,NA,NA,NA,-16.454275219409,135.543880359198,"D",0
0,2020-09-02 20:36:48.924308,NA,NA,NA,-31.1423298153269,141.056345358642,"N",0
0,2020-05-24 09:11:01.479686,NA,NA,NA,-32.0710337805293,127.794602772389,"D",0
0,2020-01-27 10:14:23.219166,NA,NA,NA,-22.7721415744627,129.344616577195,"N",0
0,2020-02-01 18:48:47.079485,NA,NA,NA,-25.6436882107034,118.505613590456,"D",0
0,2020-01-11 09:22:56.439932,NA,NA,NA,-25.086172345704,138.140698904713,"D",0
0,2020-12-14 10:18:25.461997,"Leeton","New South Wales",7437,-34.6018328299017,146.520135980742,"N",0
0,2020-06-23 08:59:57.899499,NA,NA,NA,-28.5184459739659,131.498226466208,"D",0
0,2020-06-21 21:05:15.318065,NA,NA,NA,-32.8012119765451,120.321630772779,"D",0
0,2020-03-05 09:20:53.069983,NA,NA,NA,-18.6846479000843,130.294919518034,"D",0
0,2020-12-05 10:01:42.403876,"Cobar","New South Wales",3369,-31.2385604000994,145.915907265684,"D",0
0,2020-06-09 20:12:51.655703,NA,NA,NA,-30.9897030319118,117.312969121554,"D",0
0,2020-08-04 09:31:13.146539,NA,NA,NA,-30.6875591466818,125.188914965083,"D",0
0,2020-01-01 09:48:15.492018,NA,NA,NA,-27.1163305560521,126.246121457488,"D",0
0,2020-02-02 19:31:23.402511,"New Norfolk","Tasmania",5432,-42.2325532065986,146.834926475575,"N",0
0,2020-07-02 08:26:56.506456,"Port Augusta","South Australia",6562,-32.8098194031874,138.453348717024,"N",0
0,2020-05-08 19:39:15.046826,"Grenfell","New South Wales",2022,-34.1248698915241,148.075532154391,"D",0
0,2020-11-11 08:47:30.999013,"Gladstone","Queensland",34703,-23.4875928726931,149.945031283271,"N",0
0,2020-05-20 19:59:55.772602,NA,NA,NA,-18.8945111403102,122.999819355162,"D",0
0,2020-03-21 19:52:38.502526,NA,NA,NA,-29.3112190848562,133.78875698973,"N",0
0,2020-01-18 10:02:38.60984,NA,NA,NA,-21.575858689967,143.920079439464,"D",0
0,2020-10-21 20:48:51.403975,NA,NA,NA,-25.5700112869138,114.805778103926,"N",0
0,2020-09-23 21:22:25.586421,NA,NA,NA,-26.2418320163517,131.67209609953,"D",0
0,2020-05-04 09:07:35.08426,NA,NA,NA,-23.8182066427644,138.117079983747,"N",0
0,2020-01-24 07:05:19.144129,NA,NA,NA,-22.5727211071675,118.892309266226,"D",0
0,2020-03-01 10:23:49.874208,NA,NA,NA,-28.1949181935209,136.098115781622,"N",0
0,2020-06-20 20:27:50.898674,"Horsham","Victoria",15134,-36.462627321039,142.493681603713,"D",0
0,2020-04-30 09:35:16.484606,NA,NA,NA,-16.7892391874421,131.731133421516,"N",0
0,2020-08-01 08:51:01.532842,NA,NA,NA,-32.6119008514417,144.158073987369,"D",0
0,2020-06-23 09:04:12.563053,NA,NA,NA,-31.5874526010294,128.977928958562,"D",0
0,2020-03-03 10:06:45.81129,NA,NA,NA,-26.9448898750752,145.281133849111,"N",0
0,2020-05-06 20:56:04.004277,NA,NA,NA,-16.1688921430872,132.036805214094,"D",0
0,2020-08-22 07:58:51.068301,NA,NA,NA,-30.0961529136911,142.061719471239,"N",0
0,2020-09-22 19:56:53.084592,NA,NA,NA,-25.8451079776679,142.010954196429,"N",0
0,2020-05-23 18:45:11.21085,NA,NA,NA,-15.6536609886813,132.540690493213,"N",0
0,2020-04-28 20:19:11.591333,NA,NA,NA,-20.9597556205924,141.375198042499,"D",0
0,2020-03-23 20:20:51.618363,"Bourke","New South Wales",1535,-29.0140576603509,145.407379883586,"D",0
0,2020-04-14 20:20:52.776073,NA,NA,NA,-19.1773762000654,129.093109905802,"N",0
0,2020-06-27 19:23:47.950502,NA,NA,NA,-21.4572920612632,125.649339987498,"N",0
0,2020-05-21 20:47:02.634274,NA,NA,NA,-22.083901631711,125.8556011091,"N",0
0,2020-03-27 20:16:13.271075,NA,NA,NA,-25.470232438157,115.419792191393,"N",0
0,2020-03-29 20:10:39.627548,"Glenella","Queensland",4519,-21.5097241766981,148.559054904893,"N",0
0,2020-10-06 20:50:57.24086,"Gilgandra","New South Wales",2417,-31.3281394204434,148.86030160676,"D",0
0,2020-02-26 19:23:03.514654,NA,NA,NA,-24.9965266682482,141.433502713908,"D",0
0,2020-08-17 19:04:41.323871,NA,NA,NA,-15.637870556193,143.956260643102,"D",0
0,2020-03-24 10:24:13.056075,NA,NA,NA,-21.7787611914887,127.751843065905,"D",0
0,2020-05-23 17:55:08.280431,NA,NA,NA,-31.3522316974114,139.587502946921,"D",0
0,2020-09-28 20:45:26.938558,NA,NA,NA,-24.8593526342758,132.57049690528,"D",0
0,2020-09-16 20:37:36.75063,NA,NA,NA,-19.6605374430784,137.462906327978,"N",0
0,2020-08-19 17:49:22.004047,NA,NA,NA,-29.2070712846462,129.495688504139,"D",0
0,2020-07-15 22:07:28.238904,NA,NA,NA,-30.143221838167,117.582165252722,"N",0
0,2020-03-01 18:18:02.762592,NA,NA,NA,-19.3868765440823,141.009149667746,"D",0
0,2020-11-21 20:35:31.5899,"Esperance","Western Australia",2080,-33.3921104849556,121.478770758878,"D",0
0,2020-01-20 20:54:50.423951,NA,NA,NA,-29.2724522613979,141.432690987988,"D",0
0,2020-04-02 19:06:52.858714,NA,NA,NA,-21.6445256528464,135.336602844977,"D",0
0,2020-05-27 09:17:45.990297,NA,NA,NA,-18.5933479792603,124.129471105046,"N",0
0,2020-08-08 21:17:50.063743,NA,NA,NA,-23.494499319005,116.089325235126,"N",0
0,2020-01-22 21:15:40.383421,"Perth","Western Australia",2141834,-31.7245683205881,116.567411832063,"N",0
0,2020-09-07 21:26:09.418672,NA,NA,NA,-33.3883218259242,117.879987885418,"N",0
0,2020-10-04 20:53:50.257582,NA,NA,NA,-22.8126965270273,128.982347089669,"N",0
0,2020-10-20 21:11:08.230347,NA,NA,NA,-22.6327092423672,121.163457900304,"D",0
0,2020-07-23 19:44:17.474917,NA,NA,NA,-26.0034542901149,116.783004415618,"D",0
0,2020-02-01 18:46:23.078126,NA,NA,NA,-24.6105809673628,120.929481348402,"N",0
0,2020-08-13 20:23:47.678398,NA,NA,NA,-24.1280057822189,121.660320498326,"N",0
0,2020-12-05 08:48:23.546716,NA,NA,NA,-13.1385513175542,143.475419232412,"N",0
0,2020-12-21 18:43:23.525794,NA,NA,NA,-21.3311411315922,122.86349489554,"D",0
0,2020-09-07 20:54:48.764596,"Boulder","Western Australia",4825,-31.6761399449349,121.403122865671,"D",0
0,2020-03-24 18:20:18.100001,NA,NA,NA,-23.4545286116878,147.214973143866,"D",0
0,2020-06-25 20:06:01.361002,"Colac","Victoria",9048,-38.1860626146201,143.738583269299,"D",0
0,2020-10-15 19:28:12.139648,NA,NA,NA,-13.4602455954294,142.170867284472,"N",0
0,2020-01-04 20:02:45.413553,NA,NA,NA,-21.0314725521466,138.369813653069,"D",0
0,2020-02-28 09:07:19.03906,NA,NA,NA,-19.2509604542141,123.980599574593,"D",0
0,2020-11-25 09:47:03.103204,"Murray Bridge","South Australia",15043,-35.3968488588313,139.426086621792,"D",0
0,2020-12-14 21:09:33.939335,"Red Cliffs","Victoria",3070,-33.6844439306177,143.366299735308,"N",0
0,2020-08-23 08:53:55.55839,NA,NA,NA,-32.8886572723215,123.859573430767,"N",0
0,2020-04-22 09:43:53.55766,NA,NA,NA,-25.3445752140575,150.12491168245,"D",0
0,2020-08-19 16:57:25.77049,NA,NA,NA,-22.3500576853525,128.160238469763,"N",0
0,2020-09-27 20:35:36.662599,NA,NA,NA,-22.9572373189984,116.219955295835,"D",0
0,2020-07-20 19:07:41.241644,NA,NA,NA,-23.8259022606187,133.685805257042,"D",0
0,2020-06-10 09:37:35.594754,"Canberra","Australian Capital Territory",381488,-35.1558399958435,149.094126180759,"D",0
0,2020-02-05 09:14:30.320334,NA,NA,NA,-19.5762191468681,124.753200041558,"D",0
0,2020-04-22 20:42:38.344594,NA,NA,NA,-23.8985968733805,120.199874854014,"D",0
0,2020-08-05 09:00:19.666094,NA,NA,NA,-26.7907925402714,149.531244246709,"D",0
0,2020-08-08 09:43:27.141681,NA,NA,NA,-21.3884427979542,123.760176782036,"D",0
0,2020-03-13 19:19:20.072291,NA,NA,NA,-27.9618709961071,125.342374795059,"N",0
0,2020-08-23 08:31:31.942947,NA,NA,NA,-27.6840330276328,119.607341075074,"N",0
0,2020-05-06 20:23:39.356953,NA,NA,NA,-25.8981519113876,124.5215521939,"N",0
0,2020-05-16 20:06:31.807439,NA,NA,NA,-21.9617387293741,142.325250512514,"N",0
0,2020-09-20 20:09:11.22665,NA,NA,NA,-22.9143312666693,133.475335766623,"N",0
0,2020-09-11 19:44:46.52555,NA,NA,NA,-17.8807541896987,128.619370242187,"N",0
0,2020-08-30 07:34:32.818546,"Port Augusta","South Australia",6562,-32.0384761515482,137.524505945884,"N",0
0,2020-12-14 10:32:39.156493,"Gladstone","Queensland",34703,-24.3799910944988,150.816019818341,"D",0
0,2020-09-16 09:20:27.813503,NA,NA,NA,-21.2631616805409,141.277287555,"D",0
0,2020-08-16 08:39:14.864727,NA,NA,NA,-26.8998853418831,117.640088401053,"D",0
0,2020-07-25 20:51:35.683239,NA,NA,NA,-23.7241641520935,114.432560043995,"D",0
0,2020-08-21 18:39:49.289722,NA,NA,NA,-27.4596276762406,147.46382982645,"N",0
0,2020-03-06 20:41:33.988004,NA,NA,NA,-26.9204651961381,122.852754455586,"N",0
0,2020-01-18 10:17:58.511858,NA,NA,NA,-25.7818590578348,136.443649958962,"N",0
0,2020-11-02 09:33:53.929738,NA,NA,NA,-19.0401459628716,144.029986289823,"D",0
0,2020-11-12 08:44:48.296829,NA,NA,NA,-16.0291651423349,142.879818825089,"D",0
0,2020-04-15 20:35:07.889475,NA,NA,NA,-13.7010196780282,142.613510414573,"D",0
0,2020-10-04 20:50:06.807197,NA,NA,NA,-26.0493645163746,127.453046950345,"N",0
0,2020-03-18 19:14:16.300436,NA,NA,NA,-28.5509437854003,122.421431108014,"D",0
0,2020-08-17 10:05:11.260115,NA,NA,NA,-27.031579116652,136.529105798801,"N",0
0,2020-06-05 20:40:07.463164,NA,NA,NA,-23.9345034998126,118.72531745494,"N",0
0,2020-12-28 18:45:44.416611,NA,NA,NA,-23.7821039218502,127.257764206613,"N",0
0,2020-05-16 09:53:37.759118,NA,NA,NA,-31.3575306172391,125.082941218541,"D",0
0,2020-05-31 09:41:19.760132,"Port Augusta","South Australia",6562,-32.1821646183692,136.715015856867,"D",0
0,2020-01-13 20:51:29.89487,"Wingham","New South Wales",4556,-32.0581703382018,152.110287325602,"D",0
0,2020-02-08 20:51:41.009622,NA,NA,NA,-19.1216713912226,127.282080268249,"D",0
0,2020-05-09 09:27:31.773468,NA,NA,NA,-26.4485622848697,126.307941169371,"D",0
0,2020-08-07 20:39:15.883693,NA,NA,NA,-28.3396422508365,137.669824640435,"N",0
0,2020-01-13 19:49:16.842616,NA,NA,NA,-33.5514306438983,135.359938745153,"D",0
0,2020-09-28 21:37:06.355405,NA,NA,NA,-33.2676589221237,117.996587158823,"D",0
0,2020-04-06 20:14:27.322905,NA,NA,NA,-19.1717727630006,135.47958584758,"N",0
0,2020-07-12 20:48:04.58829,NA,NA,NA,-22.4133283730888,136.093939269622,"N",0
0,2020-07-26 20:46:25.507478,NA,NA,NA,-20.8645543052387,119.216190428192,"N",0
0,2020-09-06 08:37:17.51185,NA,NA,NA,-14.5930934531406,134.048830006834,"D",0
0,2020-07-12 09:17:34.025204,NA,NA,NA,-23.2237936653491,127.574388945935,"D",0
0,2020-02-06 21:47:12.640072,NA,NA,NA,-33.4018931910804,119.739714184164,"D",0
0,2020-10-31 20:07:20.616739,NA,NA,NA,-31.2451371218497,134.083713099062,"D",0
0,2020-02-25 16:22:20.047645,NA,NA,NA,-25.1144297480773,144.336169899015,"D",0
0,2020-09-19 20:41:44.64367,NA,NA,NA,-26.4044298019924,125.667515261382,"N",0
0,2020-03-26 19:33:49.924723,NA,NA,NA,-29.6207428268972,118.949677941093,"D",0
0,2020-02-07 19:44:24.014227,NA,NA,NA,-27.666112606825,128.540197004921,"N",0
0,2020-03-08 20:56:22.344061,NA,NA,NA,-31.327734453774,130.923389284618,"D",0
0,2020-01-13 19:48:14.379498,NA,NA,NA,-25.6988168874928,143.957100825655,"D",0
0,2020-01-09 18:57:20.789124,NA,NA,NA,-19.2162153673075,137.058614505461,"N",0
0,2020-09-09 20:12:29.630823,NA,NA,NA,-24.8622447743359,125.303151176466,"D",0
0,2020-07-30 09:19:40.208295,NA,NA,NA,-28.5611053945343,127.841666820915,"N",0
0,2020-08-04 18:48:00.90285,NA,NA,NA,-23.2634804692826,121.499815487965,"N",0
0,2020-09-16 21:20:15.119611,NA,NA,NA,-25.4949055709862,139.625496560812,"N",0
0,2020-01-20 09:05:22.60691,NA,NA,NA,-29.3547518948236,139.676533747272,"N",0
0,2020-10-22 09:46:58.616228,"Swan Hill","Victoria",9864,-34.5590375530074,143.465272728658,"D",0
0,2020-07-26 21:42:52.824054,NA,NA,NA,-27.7645683889255,139.655084368238,"D",0
0,2020-04-19 18:38:28.448849,NA,NA,NA,-22.1998008905293,145.148765123729,"D",0
0,2020-10-04 19:28:55.816844,NA,NA,NA,-26.6539175995137,128.821090666837,"N",0
0,2020-08-19 07:05:46.047763,"Adelaide","South Australia",1295714,-34.5445752604901,137.850663900752,"D",0
0,2020-02-21 09:53:17.588949,NA,NA,NA,-20.129581764122,120.804603817568,"D",0
0,2020-06-30 20:05:33.931986,NA,NA,NA,-29.931538348494,118.516688372429,"D",0
0,2020-05-25 21:23:20.703739,NA,NA,NA,-23.2092067439793,145.483081889356,"D",0
0,2020-02-14 19:29:31.854372,NA,NA,NA,-25.1886672887944,129.231938942525,"D",0
0,2020-08-27 21:08:10.378142,NA,NA,NA,-25.3069406496205,132.038483443548,"D",0
0,2020-09-16 21:19:21.498875,"Boulder","Western Australia",4825,-30.0683526648585,120.114455910382,"D",0
0,2020-10-22 09:35:50.81774,NA,NA,NA,-25.8312311791003,129.074108555912,"N",0
0,2020-01-17 20:17:19.003031,NA,NA,NA,-22.8998236153972,127.324413724722,"N",0
0,2020-01-11 09:40:11.248782,NA,NA,NA,-18.1905328428345,128.748568001321,"N",0
0,2020-08-22 19:37:21.996382,NA,NA,NA,-23.6498875509393,115.759505226338,"D",0
0,2020-08-28 19:35:05.99351,NA,NA,NA,-32.1145229723791,135.295668081654,"N",0
0,2020-08-30 19:58:27.582917,NA,NA,NA,-24.5538749670987,114.916328216564,"D",0
0,2020-03-01 10:17:13.614835,NA,NA,NA,-24.7031510681679,128.822414200005,"D",0
0,2020-08-29 17:27:49.631804,NA,NA,NA,-18.4167614070732,138.107355720972,"D",0
0,2020-01-01 08:30:40.213126,NA,NA,NA,-30.28423600449,142.229397894803,"D",0
0,2020-08-15 20:54:38.80952,"Darwin","Northern Territory",139902,-13.1594178931503,130.590263117158,"N",0
0,2020-01-24 09:53:11.485655,NA,NA,NA,-25.2369896105668,114.348533498958,"D",0
0,2020-08-15 19:47:23.586138,NA,NA,NA,-18.5224584536068,125.80682589711,"N",0
0,2020-07-12 10:07:38.397475,NA,NA,NA,-19.3923768231044,125.768218320593,"D",0
0,2020-04-27 20:08:18.234318,NA,NA,NA,-20.2144052696102,143.326327514313,"D",0
0,2020-08-25 19:10:15.605981,NA,NA,NA,-34.0613222058063,119.658586843595,"N",0
0,2020-06-07 09:23:11.361183,NA,NA,NA,-19.6665820924186,121.980123350839,"D",0
0,2020-02-07 21:00:37.776946,"Gilgandra","New South Wales",2417,-31.2975088822174,149.366230021537,"N",0
0,2020-06-01 20:07:49.167916,NA,NA,NA,-20.9895429420371,127.560278465072,"D",0
0,2020-06-10 21:31:06.150639,NA,NA,NA,-30.991408878962,126.027153409591,"D",0
0,2020-10-02 21:24:27.209094,NA,NA,NA,-27.2231521468547,133.930037174774,"D",0
